FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
02/04/2012;8178D;ALBACETE;ALBACETE;676;14.6;0.4;8.9;7:00;20.3;14:01;28;0.6;7.8;14:40;6.3;931.8;10;928.7;17
03/04/2012;8178D;ALBACETE;ALBACETE;676;13.8;4.2;9.8;3:50;17.7;12:55;28;1.4;8.6;13:50;2.5;930.9;0;928;17
04/04/2012;8178D;ALBACETE;ALBACETE;676;12.6;0.3;9.4;23:59;15.7;12:51;30;1.9;7.5;14:20;0.8;931.2;24;928.7;15
05/04/2012;8178D;ALBACETE;ALBACETE;676;10.9;3.3;7.4;5:00;14.4;14:40;3;0.3;6.1;15:00;;931.4;11;929.7;18
06/04/2012;8178D;ALBACETE;ALBACETE;676;8.5;0;4.7;5:10;12.3;13:40;28;2.2;11.4;9:50;;935.8;24;929.9;3
07/04/2012;8178D;ALBACETE;ALBACETE;676;9.4;0;5.2;Varias;13.6;15:10;27;1.9;12.5;14:30;;938.9;24;934.8;6
08/04/2012;8178D;ALBACETE;ALBACETE;676;11;0;3.2;6:12;18.9;15:48;31;2.8;9.4;13:40;;940.7;10;938.1;Varias
09/04/2012;8178D;ALBACETE;ALBACETE;676;15;0;5.7;6:10;24.2;16:09;22;0.6;5.8;19:40;11.9;939.6;1;932;24
10/04/2012;8178D;ALBACETE;ALBACETE;676;16;0;12.1;4:50;19.9;13:22;28;5;16.4;13:20;9.4;933.3;24;929.4;5
11/04/2012;8178D;ALBACETE;ALBACETE;676;14.1;0;8.7;5:53;19.5;16:06;30;2.8;10.8;2:10;10.7;935.8;11;931.3;17
12/04/2012;8178D;ALBACETE;ALBACETE;676;11.7;0.2;8.2;6:10;15.2;11:15;28;1.7;6.9;16:10;2.7;935.4;0;926.1;18
13/04/2012;8178D;ALBACETE;ALBACETE;676;11;0;6.9;6:43;15;16:20;27;3.1;14.2;15:10;10.9;933.1;21;926.9;5
14/04/2012;8178D;ALBACETE;ALBACETE;676;9.2;6.2;5.5;23:59;12.8;13:00;26;5.8;17.5;10:40;2;932.7;0;926.7;16
15/04/2012;8178D;ALBACETE;ALBACETE;676;8.4;0;3.7;5:10;13.2;15:10;31;3.1;11.1;11:00;11;936;24;929.6;0
16/04/2012;8178D;ALBACETE;ALBACETE;676;8.5;0;2.4;4:51;14.6;14:53;28;3.6;11.4;13:40;12.6;940.9;24;936;0
17/04/2012;8178D;ALBACETE;ALBACETE;676;10.1;0;1.5;5:18;18.7;15:40;27;3.6;12.8;16:00;12.5;941.3;9;935.7;24
18/04/2012;8178D;ALBACETE;ALBACETE;676;12.4;0;9.8;Varias;14.9;14:55;27;4.7;13.9;21:30;5.6;935.7;0;929.5;24
19/04/2012;8178D;ALBACETE;ALBACETE;676;12.4;1.3;8.3;4:45;16.4;14:38;30;5.8;17.5;16:40;9.7;930.5;24;927.3;15
20/04/2012;8178D;ALBACETE;ALBACETE;676;11.3;0;6.6;5:23;16;16:20;29;3.3;13.6;14:10;7.9;936.6;24;930.5;0
21/04/2012;8178D;ALBACETE;ALBACETE;676;15;0;9.7;5:50;20.3;14:50;29;3.1;9.7;15:50;;939.3;24;936.6;Varias
22/04/2012;8178D;ALBACETE;ALBACETE;676;16;0;9.8;4:30;22.2;14:34;26;2.2;9.2;12:20;;939.4;11;935.6;18
23/04/2012;8178D;ALBACETE;ALBACETE;676;14.6;0;8;4:28;21.1;14:53;27;4.2;13.3;18:30;11.3;938.4;10;934.7;19
24/04/2012;8178D;ALBACETE;ALBACETE;676;13.4;0;9.6;7:30;17.1;16:11;27;2.8;11.7;0:20;7.7;938.4;11;935.5;0
25/04/2012;8178D;ALBACETE;ALBACETE;676;15.7;0;7.9;3:14;23.5;13:35;29;2.2;12.5;14:20;9.6;936;0;929.7;19
26/04/2012;8178D;ALBACETE;ALBACETE;676;18.8;Ip;10.2;5:40;27.3;15:19;28;1.9;9.7;3:10;12.4;934.6;24;931.4;0
27/04/2012;8178D;ALBACETE;ALBACETE;676;19.2;0.8;12.3;Varias;26;13:50;31;0.6;7.8;0:40;8.7;934.8;1;931.1;17
28/04/2012;8178D;ALBACETE;ALBACETE;676;12.2;9.7;7.6;21:50;16.8;9:00;28;2.8;13.6;18:30;;934.7;24;927.5;7
29/04/2012;8178D;ALBACETE;ALBACETE;676;10.1;8.7;6;23:30;14.2;13:20;25;1.7;9.4;0:20;;936.1;11;933.9;16
30/04/2012;8178D;ALBACETE;ALBACETE;676;10;8.1;5.7;3:11;14.3;14:42;28;2.2;10.6;7:30;7.6;938.8;24;935;Varias
01/05/2012;8178D;ALBACETE;ALBACETE;676;10.8;0;3.6;5:20;18;13:57;3;1.1;6.4;13:50;8.1;939.6;10;936.4;18
02/05/2012;8178D;ALBACETE;ALBACETE;676;13.6;0;6.9;6:00;20.3;16:30;20;0.6;5.8;Varias;12.1;939.5;9;937.4;Varias
03/05/2012;8178D;ALBACETE;ALBACETE;676;16;0;9.4;5:30;22.5;15:13;27;2.5;9.7;16:30;11.7;938.9;0;935;17
04/05/2012;8178D;ALBACETE;ALBACETE;676;13.8;4;11;Varias;16.7;13:34;27;2.8;10.3;18:00;3.5;937.1;0;934.7;17
05/05/2012;8178D;ALBACETE;ALBACETE;676;11.8;12.1;9.5;20:10;14;15:50;25;1.4;6.9;9:30;;935.6;0;933.9;17
06/05/2012;8178D;ALBACETE;ALBACETE;676;13.8;0.1;9;Varias;18.7;16:30;27;1.9;8.3;16:00;;942.4;24;934.3;1
07/05/2012;8178D;ALBACETE;ALBACETE;676;15.4;0;7.7;5:30;23.2;15:48;28;0.6;6.7;16:10;12.5;943.8;11;941.5;17
08/05/2012;8178D;ALBACETE;ALBACETE;676;19.2;0;12.7;6:10;25.6;16:17;33;1.4;6.9;15:50;10.7;943.3;0;940.8;18
09/05/2012;8178D;ALBACETE;ALBACETE;676;21.4;0;13.9;5:20;29;16:33;21;0.8;7.2;19:00;13.7;943.8;24;940.9;18
10/05/2012;8178D;ALBACETE;ALBACETE;676;21;0;12.3;5:30;29.8;15:52;9;1.4;8.6;11:20;13.5;948;24;943.8;0
11/05/2012;8178D;ALBACETE;ALBACETE;676;21.1;0;11.6;5:16;30.6;15:00;12;1.1;8.6;16:10;12.8;949.3;23;946.7;18
12/05/2012;8178D;ALBACETE;ALBACETE;676;24.4;0;15;5:30;33.9;15:30;1;1.7;8.3;17:00;12.3;949.2;8;946.2;16
13/05/2012;8178D;ALBACETE;ALBACETE;676;25.4;0;16.7;5:20;34;15:02;30;1.7;13.6;16:10;11.2;947.2;0;940.3;17
14/05/2012;8178D;ALBACETE;ALBACETE;676;23;0;14.1;5:29;32;16:09;27;1.4;9.4;14:30;13.3;941.4;0;936.5;18
15/05/2012;8178D;ALBACETE;ALBACETE;676;21.7;0;13;4:52;30.4;15:49;27;1.4;8.1;16:10;13.4;941.3;24;938.8;Varias
16/05/2012;8178D;ALBACETE;ALBACETE;676;20.8;0;12;4:43;29.7;14:23;21;1.4;9.2;18:00;12;943.4;Varias;940.6;17
17/05/2012;8178D;ALBACETE;ALBACETE;676;21.8;0;13.6;4:48;30.1;16:03;8;1.1;8.1;1:40;10;942.5;0;932.9;24
18/05/2012;8178D;ALBACETE;ALBACETE;676;24.1;0;18.4;5:10;29.8;14:54;26;2.5;11.7;14:40;10.3;933.2;7;930.9;18
19/05/2012;8178D;ALBACETE;ALBACETE;676;18;0;13.3;23:50;22.8;13:50;29;3.3;15.8;16:40;;933.8;9;930.6;17
20/05/2012;8178D;ALBACETE;ALBACETE;676;12.6;8.7;8.1;23:59;17;13:30;28;3.3;16.9;15:40;;935;24;931;15
21/05/2012;8178D;ALBACETE;ALBACETE;676;12.7;0;6.4;5:19;19;17:39;29;3.6;12.5;16:30;13;941.6;24;935;0
22/05/2012;8178D;ALBACETE;ALBACETE;676;16.5;0;7.6;5:07;25.4;16:10;28;2.2;10.6;12:40;13.7;943.7;24;941.1;18
23/05/2012;8178D;ALBACETE;ALBACETE;676;19.7;0;9.6;5:30;29.8;15:22;5;1.1;6.1;22:20;13.7;944.6;9;942.3;17
24/05/2012;8178D;ALBACETE;ALBACETE;676;21.8;0;11.7;6:04;32;15:38;12;1.1;9.7;18:20;13.8;943.7;Varias;939.4;17
25/05/2012;8178D;ALBACETE;ALBACETE;676;23;0;14.8;5:10;31.2;14:23;22;1.1;9.7;18:50;11.5;940.5;0;936;17
26/05/2012;8178D;ALBACETE;ALBACETE;676;23;0;15.6;5:00;30.3;16:10;33;1.1;8.3;14:30;;940.5;Varias;938.1;17
27/05/2012;8178D;ALBACETE;ALBACETE;676;21.4;0;13.5;5:30;29.4;15:10;22;1.1;5.8;14:10;;941.6;8;938;18
28/05/2012;8178D;ALBACETE;ALBACETE;676;22.2;0;13.6;4:40;30.8;14:23;21;0.8;7.8;17:10;13.2;939.1;7;936.3;18
29/05/2012;8178D;ALBACETE;ALBACETE;676;22.2;0;13.3;5:08;31;16:17;28;1.4;6.4;13:00;13.4;940;24;937.6;17
30/05/2012;8178D;ALBACETE;ALBACETE;676;22.8;0;15.4;5:00;30.2;16:22;13;1.1;8.6;17:10;7.4;943.5;24;940;0
31/05/2012;8178D;ALBACETE;ALBACETE;676;21.6;0;13.4;5:20;29.7;12:50;19;1.4;10.8;14:00;13.3;944.1;9;941.6;20
01/06/2012;8178D;ALBACETE;ALBACETE;676;24.4;0;15.3;5:50;33.4;14:00;8;1.7;8.3;13:00;12.4;942.7;0;938.6;17
02/06/2012;8178D;ALBACETE;ALBACETE;676;26.4;1;19.1;5:50;33.6;15:14;11;1.1;7.8;15:30;10.2;939.8;8;936.5;17
03/06/2012;8178D;ALBACETE;ALBACETE;676;23.6;0;18.8;4:00;28.5;15:30;30;1.9;9.4;15:00;9.2;940.4;23;937.8;4
04/06/2012;8178D;ALBACETE;ALBACETE;676;23.8;0;15;4:44;32.7;16:40;27;0.8;7.5;16:11;13.7;941;Varias;938.2;17
05/06/2012;8178D;ALBACETE;ALBACETE;676;24.2;0;14.6;5:42;33.8;16:12;28;1.4;9.7;15:30;13.8;941.2;8;937.6;18
06/06/2012;8178D;ALBACETE;ALBACETE;676;26.7;0;19;4:50;34.4;16:28;99;2.2;9.2;Varias;13.9;939;0;933.9;18
07/06/2012;8178D;ALBACETE;ALBACETE;676;26.9;0;20.8;23:59;33;13:10;29;2.2;11.1;13:00;9.4;934.9;24;931.8;17
08/06/2012;8178D;ALBACETE;ALBACETE;676;22.1;0;16.5;23:59;27.7;15:00;33;1.7;8.9;15:10;7.2;940.7;24;934.9;0
09/06/2012;8178D;ALBACETE;ALBACETE;676;21.6;0;13.7;5:57;29.5;15:40;28;1.9;8.9;17:10;;942.8;11;940.6;Varias
10/06/2012;8178D;ALBACETE;ALBACETE;676;23.3;0;16.1;4:50;30.5;15:08;99;2.8;11.9;Varias;;942;0;937.3;19
11/06/2012;8178D;ALBACETE;ALBACETE;676;22.6;0;16.8;23:59;28.5;14:47;28;3.3;14.7;16:20;10.4;938.3;0;933.3;Varias
12/06/2012;8178D;ALBACETE;ALBACETE;676;18.8;0;11.9;4:35;25.8;16:24;28;2.2;10;11:50;14.1;939.7;24;936;0
13/06/2012;8178D;ALBACETE;ALBACETE;676;20;0;10.7;Varias;29.3;15:58;23;0.8;9.2;18:40;13.9;941.2;9;937.6;17
14/06/2012;8178D;ALBACETE;ALBACETE;676;21.8;0;12.3;5:25;31.3;15:30;22;1.1;7.8;19:10;13.9;941.8;24;938.4;17
15/06/2012;8178D;ALBACETE;ALBACETE;676;24;0;14.2;5:40;33.8;18:10;11;0;7.8;20:50;13.9;943.4;9;940.4;18
16/06/2012;8178D;ALBACETE;ALBACETE;676;24.8;0;14.7;4:56;35;16:27;22;0.6;7.5;0:10;13.2;944.5;9;941.3;18
17/06/2012;8178D;ALBACETE;ALBACETE;676;25.8;0;18;5:10;33.7;12:30;8;1.4;10;15:30;12.4;943.4;1;938.9;19
18/06/2012;8178D;ALBACETE;ALBACETE;676;25.7;1.7;16.5;6:00;34.9;13:29;18;1.4;10.8;14:10;9.6;941;0;937.4;17
19/06/2012;8178D;ALBACETE;ALBACETE;676;21.6;21.5;16.4;4:49;26.8;13:11;28;0.8;13.9;15:30;1.8;939.5;2;936.3;15
20/06/2012;8178D;ALBACETE;ALBACETE;676;24;0;15.7;4:44;32.3;16:47;27;1.7;7.2;17:40;13.7;939.6;10;936.2;18
21/06/2012;8178D;ALBACETE;ALBACETE;676;24.4;0;18.4;5:00;30.4;15:00;99;2.5;9.7;Varias;13.9;941.7;24;938.3;Varias
22/06/2012;8178D;ALBACETE;ALBACETE;676;25.7;0;17.7;5:03;33.7;13:52;8;1.7;9.4;14:50;14;944.8;24;940.8;17
23/06/2012;8178D;ALBACETE;ALBACETE;676;26.2;0;17.1;5:10;35.3;Varias;12;1.1;8.9;23:20;;946;9;943.5;18
24/06/2012;8178D;ALBACETE;ALBACETE;676;28.2;0;17.6;5:30;38.7;16:30;18;0.8;8.9;1:10;;945.4;8;941.9;18
25/06/2012;8178D;ALBACETE;ALBACETE;676;27.8;0;17.8;5:40;37.7;15:40;2;1.7;8.6;19:00;;944.9;0;941.7;18
26/06/2012;8178D;ALBACETE;ALBACETE;676;30.2;0;21.1;5:00;39.3;16:10;99;1.4;6.4;Varias;;944.4;Varias;942.4;18
27/06/2012;8178D;ALBACETE;ALBACETE;676;29.4;0;21.3;2:10;37.5;13:06;31;1.1;8.9;13:30;7.4;943.8;0;939.2;19
28/06/2012;8178D;ALBACETE;ALBACETE;676;30.6;0;23;5:03;38.3;15:42;27;2.5;13.6;15:00;11.8;939.7;1;935.5;19
29/06/2012;8178D;ALBACETE;ALBACETE;676;29.4;0;23;5:29;35.7;15:13;26;3.3;12.2;14:40;13.6;938.2;Varias;936.2;Varias
30/06/2012;8178D;ALBACETE;ALBACETE;676;25.6;0;18.3;5:40;32.8;14:30;29;2.5;12.2;14:00;14;938.8;10;936;17
01/07/2012;8178D;ALBACETE;ALBACETE;676;21.8;0;16.3;5:40;27.3;15:20;27;2.8;11.4;12:40;13.3;942.1;24;938.2;2
02/07/2012;8178D;ALBACETE;ALBACETE;676;22.8;0;13.4;5:20;32.2;18:06;10;0.3;8.1;21:50;13.6;943.1;8;939.8;18
03/07/2012;8178D;ALBACETE;ALBACETE;676;24.8;0;15.8;5:10;33.8;14:52;19;0.8;8.6;23:10;12.7;941.9;7;938.1;19
04/07/2012;8178D;ALBACETE;ALBACETE;676;26.4;0;18.8;4:20;34.1;15:28;26;2.2;10.8;15:20;13.7;938.8;0;933.7;18
05/07/2012;8178D;ALBACETE;ALBACETE;676;25.8;0;19.6;5:16;32.1;16:23;30;3.1;10.8;17:25;13.9;936.5;24;933.6;17
06/07/2012;8178D;ALBACETE;ALBACETE;676;24.6;0;15.5;3:50;33.6;16:10;29;1.1;8.6;16:10;14;937.9;10;935.3;17
07/07/2012;8178D;ALBACETE;ALBACETE;676;26.9;0;17.6;6:00;36.2;15:40;25;1.9;10.3;17:30;;938.4;8;934.7;18
08/07/2012;8178D;ALBACETE;ALBACETE;676;28.3;0;19.8;5:30;36.8;16:50;15;0.8;8.9;17:00;;938.8;11;935.7;17
09/07/2012;8178D;ALBACETE;ALBACETE;676;27.6;0;18.8;5:10;36.3;14:50;29;0.8;9.7;15:38;13.1;939.5;Varias;936.6;18
10/07/2012;8178D;ALBACETE;ALBACETE;676;27.7;0;19.9;6:02;35.5;16:16;28;2.2;10;14:40;13.9;940.3;24;937.7;18
11/07/2012;8178D;ALBACETE;ALBACETE;676;27.2;0;18.4;5:53;36;15:09;30;1.1;12.5;17:00;13.9;943.5;24;938.5;17
12/07/2012;8178D;ALBACETE;ALBACETE;676;26;0;16.1;4:55;35.8;17:33;23;0.8;7.2;23:14;13.9;944.8;9;940.4;18
13/07/2012;8178D;ALBACETE;ALBACETE;676;28.6;0;18.3;5:51;39;15:55;26;1.4;12.2;16:39;13.4;942.2;0;936.2;18
14/07/2012;8178D;ALBACETE;ALBACETE;676;27.8;0;20.9;23:59;34.6;15:30;32;2.2;11.4;15:00;12.7;940.2;24;936.3;19
15/07/2012;8178D;ALBACETE;ALBACETE;676;27.2;0;19.2;1:30;35.2;16:50;7;1.9;9.4;19:20;13.7;946.2;24;940.2;0
16/07/2012;8178D;ALBACETE;ALBACETE;676;26;0;20.4;6:10;31.6;14:57;8;1.4;8.1;15:04;12.8;950.4;24;946.5;17
17/07/2012;8178D;ALBACETE;ALBACETE;676;26.4;0;17.5;5:47;35.3;15:26;11;1.1;6.9;18:35;13.7;951;8;946.8;18
18/07/2012;8178D;ALBACETE;ALBACETE;676;27.2;0;18.4;6:05;35.9;16:40;7;0.8;7.8;23:49;13.8;948.7;0;942;19
19/07/2012;8178D;ALBACETE;ALBACETE;676;29.8;0;20.7;5:40;38.8;15:31;22;0.6;8.9;19:10;13.6;942.2;0;935.7;18
20/07/2012;8178D;ALBACETE;ALBACETE;676;27.8;0;18.2;5:42;37.5;14:52;31;2.2;10.3;16:31;13;939.2;9;936.5;18
21/07/2012;8178D;ALBACETE;ALBACETE;676;26.6;0;17;5:34;36.1;15:10;13;0.8;10;19:10;12.2;942.7;24;939.1;0
22/07/2012;8178D;ALBACETE;ALBACETE;676;27.2;0;19.7;5:50;34.7;16:20;11;1.4;9.7;20:50;12.5;943.3;8;939.5;18
23/07/2012;8178D;ALBACETE;ALBACETE;676;24.8;0;18.9;4:40;30.8;15:35;22;1.1;8.1;20:30;13.1;941.8;0;937.2;18
24/07/2012;8178D;ALBACETE;ALBACETE;676;24.4;0;17.3;4:50;31.6;15:17;20;1.1;10;9:30;11.2;939.5;Varias;936.9;17
25/07/2012;8178D;ALBACETE;ALBACETE;676;26;0;17.2;6:00;34.8;15:27;23;1.4;8.3;14:27;12.7;941.2;23;936.7;18
26/07/2012;8178D;ALBACETE;ALBACETE;676;26.6;0;18.3;5:57;34.8;14:14;5;1.7;9.4;16:21;9.9;941.3;1;935.8;17
27/07/2012;8178D;ALBACETE;ALBACETE;676;25.3;0.2;17.6;5:14;33;13:50;20;0.6;7.8;16:29;9.5;939;10;935.3;16
28/07/2012;8178D;ALBACETE;ALBACETE;676;25.8;0;19.1;3:20;32.6;15:40;23;0.6;6.1;14:00;13.4;939;23;936.3;17
29/07/2012;8178D;ALBACETE;ALBACETE;676;27.6;0;20.2;6:00;35;13:43;8;0.6;6.4;23:40;13.5;941.6;24;938.6;Varias
30/07/2012;8178D;ALBACETE;ALBACETE;676;27.9;0;18.5;5:34;37.3;15:23;20;1.1;7.8;21:10;13.2;943.2;8;940.2;18
31/07/2012;8178D;ALBACETE;ALBACETE;676;28.6;0;19.2;6:40;38;15:04;7;1.1;8.1;18:11;12.1;943;8;938.7;18
01/08/2012;8178D;ALBACETE;ALBACETE;676;30.2;0;20.9;5:10;39.6;15:40;28;1.9;10.8;14:42;12;940.4;7;936.9;17
02/08/2012;8178D;ALBACETE;ALBACETE;676;29.6;0;18.8;5:42;40.5;15:26;31;1.1;9.7;16:49;12.1;940.3;24;937.5;17
03/08/2012;8178D;ALBACETE;ALBACETE;676;27.8;0;17.6;5:53;38.1;15:01;23;0.6;8.1;16:00;13.5;940.6;9;937.4;18
04/08/2012;8178D;ALBACETE;ALBACETE;676;27.5;0;18.6;5:50;36.4;14:50;29;1.7;8.9;15:50;;939.7;0;934.1;19
05/08/2012;8178D;ALBACETE;ALBACETE;676;26.2;0;19.7;6:10;32.6;14:00;29;2.8;13.9;16:46;;937.4;24;932.9;18
06/08/2012;8178D;ALBACETE;ALBACETE;676;24.8;0;18.2;5:02;31.3;16:19;6;0.6;8.3;21:22;13.4;944.1;24;937.4;0
07/08/2012;8178D;ALBACETE;ALBACETE;676;24.6;0;17.4;5:34;31.8;16:17;2;1.9;8.9;15:54;12.7;945.2;8;942.1;18
08/08/2012;8178D;ALBACETE;ALBACETE;676;26;0;16.2;5:37;35.8;15:32;21;1.1;9.7;17:43;8;944.9;11;941.6;19
09/08/2012;8178D;ALBACETE;ALBACETE;676;30.7;0.4;20;6:30;41.4;13:17;27;0.8;9.2;14:31;7.3;945.2;21;942.2;17
10/08/2012;8178D;ALBACETE;ALBACETE;676;31.8;0;22.2;5:30;41.5;15:20;25;1.4;7.8;12:40;11.2;945.2;8;942.2;18
11/08/2012;8178D;ALBACETE;ALBACETE;676;31.8;0;23.8;6:00;39.8;12:50;22;1.7;12.2;15:47;;944.1;0;939;18
12/08/2012;8178D;ALBACETE;ALBACETE;676;28.1;0;20;6:30;36.2;15:00;26;1.1;11.1;14:50;;940.1;0;936.3;18
13/08/2012;8178D;ALBACETE;ALBACETE;676;25;0;16.5;5:54;33.4;15:30;28;1.7;9.7;14:10;;938.8;10;935.6;18
14/08/2012;8178D;ALBACETE;ALBACETE;676;26;0;16.7;5:20;35.4;15:40;20;0.8;6.9;18:00;;938.2;10;934.2;18
15/08/2012;8178D;ALBACETE;ALBACETE;676;25.9;0;19.4;6:00;32.4;16:00;28;2.2;9.7;14:30;;940.9;24;936.1;3
16/08/2012;8178D;ALBACETE;ALBACETE;676;28.1;0;18;6:00;38.2;16:15;20;0.6;7.8;21:28;12.4;942;9;938.8;17
17/08/2012;8178D;ALBACETE;ALBACETE;676;28.8;0;19.2;5:40;38.3;16:00;6;1.4;8.9;14:00;;941.9;23;938.3;17
18/08/2012;8178D;ALBACETE;ALBACETE;676;29;0;19.2;5:40;38.9;13:20;19;1.1;9.7;16:35;;943.4;23;940;16
19/08/2012;8178D;ALBACETE;ALBACETE;676;29.4;0;23.3;5:30;35.5;15:20;21;0.6;8.1;16:20;;945.5;24;942.9;1
20/08/2012;8178D;ALBACETE;ALBACETE;676;30.3;0;21.7;5:40;38.9;15:20;22;0.8;7.5;21:20;;946.3;9;943.2;17
21/08/2012;8178D;ALBACETE;ALBACETE;676;31.4;0;23.2;7:10;39.7;15:08;4;1.1;6.1;3:50;;944.6;0;940.6;18
22/08/2012;8178D;ALBACETE;ALBACETE;676;30.8;0;22.2;6:10;39.3;13:50;11;1.1;8.3;21:00;;941.6;9;938.1;18
23/08/2012;8178D;ALBACETE;ALBACETE;676;30.5;0;22.8;7:10;38.2;14:43;24;0.6;8.3;0:50;;939.5;0;935.3;19
24/08/2012;8178D;ALBACETE;ALBACETE;676;26.8;0;19.2;6:20;34.5;14:40;28;2.2;10.3;15:30;;938.7;24;935.4;18
